Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,310.432,310.651,308.518,309.125
2018-01-03,309.079,309.68,308.291,308.509
2018-01-04,308.537,309.022,308.009,308.22
2018-01-05,308.192,308.926,308.113,308.394
2018-01-08,308.423,309.221,308.107,309.007
2018-01-09,309.006,310.031,308.873,309.497
2018-01-10,309.563,310.452,309.234,309.335
2018-01-11,309.389,309.476,308.481,308.863
2018-01-12,308.876,309.097,308.369,308.751
2018-01-15,308.869,309.409,308.538,308.865
2018-01-16,308.824,309.169,308.337,308.664
2018-01-17,308.67,309.267,308.404,308.558
2018-01-18,308.6,308.716,307.713,308.258
2018-01-19,308.267,309.598,308.203,309.145
2018-01-22,309.085,309.826,309.008,309.629
2018-01-23,309.638,310.26,309.208,309.339
2018-01-24,309.337,309.633,308.68,309.341
2018-01-25,309.336,309.647,308.775,309.127
2018-01-26,309.222,309.993,309.017,309.357
2018-01-29,309.243,310.145,309.142,309.998
2018-01-30,310.022,311.09,309.925,310.876
2018-01-31,310.876,311.096,309.831,310.052
2018-02-01,310.126,310.234,308.786,309.119
2018-02-02,309.121,310.127,308.945,309.828
2018-02-05,309.762,310.634,309.32,310.188
2018-02-06,310.191,310.794,309.767,309.836
2018-02-07,309.845,310.675,309.474,310.604
2018-02-08,310.616,311.458,310.353,311.392
2018-02-09,311.372,312.693,311.119,311.778
2018-02-12,312.305,312.392,311.753,311.941
2018-02-13,311.935,312.3,311.563,312.039
2018-02-14,312.009,313.236,311.694,312.054
2018-02-15,312.013,312.246,311.089,311.325
2018-02-16,311.322,311.694,311.003,311.364
2018-02-19,311.545,311.684,310.913,311.038
2018-02-20,311.038,312.185,310.994,311.859
2018-02-21,311.953,312.685,311.774,312.394
2018-02-22,312.428,313.231,312.229,312.99
2018-02-23,312.981,313.171,312.699,313.11
2018-02-26,313.131,313.832,312.968,313.6
2018-02-27,313.631,314.316,313.491,314.174
2018-02-28,314.161,314.471,313.699,313.84
2018-03-01,313.85,314.011,313.219,313.64
2018-03-02,313.625,314.077,313.47,313.865
2018-03-05,313.551,314.311,313.551,314.21
2018-03-06,314.209,314.332,312.559,312.831
2018-03-07,312.908,313.43,311.649,312.23
2018-03-08,312.23,312.451,311.628,311.891
2018-03-09,311.88,312.11,311.438,311.619
2018-03-12,311.631,312.172,311.408,311.838
2018-03-13,311.842,311.992,311.452,311.84
2018-03-14,311.84,311.991,311.149,311.31
2018-03-15,311.319,311.461,310.638,311.269
2018-03-16,311.289,311.391,310.7,310.881
2018-03-19,311.399,311.399,310.729,311.247
2018-03-20,311.26,311.661,311.018,311.52
2018-03-21,311.519,311.598,311.079,311.44
2018-03-22,311.441,312.351,311.338,312.141
2018-03-23,312.141,313.27,312.109,312.921
2018-03-26,312.899,313.042,312.548,312.932
2018-03-27,312.932,313.102,312.43,312.849
2018-03-28,312.839,312.992,312.16,312.4
2018-03-29,312.39,312.742,311.928,312.382
2018-03-30,312.382,312.65,311.892,312.589
2018-04-02,312.378,312.828,312.259,312.609
2018-04-03,312.6,312.752,311.709,311.9
2018-04-04,311.899,312.221,311.129,311.259
2018-04-05,311.261,311.582,310.859,311.089
2018-04-06,311.08,312.76,311.039,312.49
2018-04-09,311.921,312.622,311.16,311.361
2018-04-10,311.37,311.832,311.028,311.33
2018-04-11,311.331,311.772,311.178,311.379
2018-04-12,311.379,311.562,311.109,311.342
2018-04-13,311.299,311.401,310.528,310.611
2018-04-16,310.719,310.871,309.918,310.328
2018-04-17,310.331,311.041,309.979,310.319
2018-04-18,310.331,310.581,309.889,310.411
2018-04-19,310.388,310.61,310.08,310.228
2018-04-20,310.23,310.948,310.164,310.758
2018-04-23,310.812,312.675,310.661,312.309
2018-04-24,312.291,312.872,312.051,312.525
2018-04-25,312.552,313.569,312.517,313.189
2018-04-26,313.2,313.351,312.638,312.87
2018-04-27,312.867,313.102,312.451,312.861
2018-04-30,312.869,313.789,312.692,313.658
2018-05-01,313.66,315.53,313.43,314.071
2018-05-02,314.07,314.721,312.978,314.49
2018-05-03,314.499,314.851,313.728,313.902
2018-05-04,313.902,314.499,313.479,313.608
2018-05-07,313.72,314.79,313.568,314.691
2018-05-08,314.7,315.301,314.261,314.94
2018-05-09,314.94,315.719,314.638,315.349
2018-05-10,315.35,315.672,313.528,314.261
2018-05-11,314.251,315.471,314.099,315.429
2018-05-14,315.292,315.641,314.878,315.46
2018-05-15,315.459,317.551,315.319,316.57
2018-05-16,316.57,317.751,315.75,316.01
2018-05-17,316.01,317.482,315.771,317.239
2018-05-18,317.301,318.598,316.878,318.218
2018-05-21,318.209,319.499,317.624,318.049
2018-05-22,318.098,318.77,316.339,317.95
2018-05-23,317.922,319.691,317.888,318.54
2018-05-24,318.55,319.919,318.219,319.4
