Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,124.045,124.934,124.022,124.834
2018-01-03,124.839,125.384,124.776,125.081
2018-01-04,125.092,125.335,124.983,125.22
2018-01-05,125.201,125.313,124.704,124.797
2018-01-08,124.78,125.094,124.709,124.949
2018-01-09,124.984,125.298,124.899,125.192
2018-01-10,125.189,125.302,124.898,124.975
2018-01-11,124.988,125.669,124.893,125.19
2018-01-12,125.154,125.559,124.851,125.179
2018-01-15,125.026,125.886,124.914,125.638
2018-01-16,125.565,125.717,125.275,125.571
2018-01-17,125.6,126.058,125.368,125.948
2018-01-18,125.942,126.058,125.394,125.559
2018-01-19,125.508,125.926,125.445,125.706
2018-01-22,125.716,126.045,125.685,125.955
2018-01-23,125.929,126.045,125.669,125.709
2018-01-24,125.751,125.972,125.613,125.767
2018-01-25,125.745,126.05,125.24,125.348
2018-01-26,125.324,125.483,124.535,124.619
2018-01-29,124.629,124.781,124.494,124.643
2018-01-30,124.596,124.971,124.365,124.848
2018-01-31,124.818,125.157,124.512,124.638
2018-02-01,124.646,125.131,124.545,124.641
2018-02-02,124.623,125.393,124.565,125.02
2018-02-05,125.048,125.133,124.699,124.828
2018-02-06,124.83,125.101,124.573,124.825
2018-02-07,124.83,125.106,124.656,125.038
2018-02-08,125.04,125.214,124.911,125.04
2018-02-09,124.998,125.218,124.916,125.006
2018-02-12,125.044,125.376,124.979,125.244
2018-02-13,125.251,125.374,125.184,125.272
2018-02-14,125.246,125.343,124.378,125.076
2018-02-15,125.009,125.18,124.758,125.033
2018-02-16,125.02,125.341,124.33,124.439
2018-02-19,124.438,124.749,124.279,124.279
2018-02-20,124.308,124.466,123.841,123.952
2018-02-21,123.903,124.038,123.658,123.714
2018-02-22,123.73,123.859,123.561,123.754
2018-02-23,123.741,123.843,123.461,123.511
2018-02-26,123.523,123.66,123.446,123.534
2018-02-27,123.551,123.901,123.236,123.308
2018-02-28,123.321,123.688,123.263,123.509
2018-03-01,123.54,123.867,123.425,123.515
2018-03-02,123.532,123.856,123.487,123.765
2018-03-05,123.773,123.898,123.455,123.525
2018-03-06,123.543,123.856,123.456,123.764
2018-03-07,123.753,123.846,123.26,123.509
2018-03-08,123.54,123.822,122.803,122.924
2018-03-09,123.012,123.052,122.596,122.941
2018-03-12,122.95,123.044,122.696,122.938
2018-03-13,122.914,123.094,122.591,122.735
2018-03-14,122.724,123.133,122.628,122.943
2018-03-15,122.942,123.044,122.678,122.709
2018-03-16,122.728,122.837,122.287,122.317
2018-03-19,122.336,122.73,122.084,122.084
2018-03-20,122.147,122.432,122.055,122.332
2018-03-21,122.342,122.914,122.271,122.828
2018-03-22,122.546,122.698,122.08,122.12
