Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,9.8204,9.8625,9.8078,9.8467
2018-01-03,9.8466,9.8592,9.8138,9.8253
2018-01-04,9.8254,9.8339,9.8058,9.8181
2018-01-05,9.8184,9.8377,9.7874,9.8066
2018-01-08,9.8078,9.8344,9.801,9.8202
2018-01-09,9.8207,9.8418,9.8068,9.8233
2018-01-10,9.8237,9.8356,9.7561,9.7992
2018-01-11,9.7991,9.8248,9.7757,9.7893
2018-01-12,9.7893,9.8475,9.7662,9.8088
2018-01-15,9.8135,9.8589,9.8067,9.8337
2018-01-16,9.8337,9.8718,9.8172,9.8609
2018-01-17,9.8611,9.872,9.8076,9.8097
2018-01-18,9.8095,9.8397,9.8043,9.8111
2018-01-19,9.8111,9.8428,9.8077,9.8317
2018-01-22,9.8426,9.8517,9.8236,9.8342
2018-01-23,9.8345,9.8667,9.8277,9.8484
2018-01-24,9.8482,9.8567,9.8202,9.8332
2018-01-25,9.8332,9.8389,9.7997,9.8162
2018-01-26,9.8174,9.8278,9.7692,9.7841
2018-01-29,9.7804,9.792,9.7488,9.7645
2018-01-30,9.7649,9.7968,9.7622,9.7851
2018-01-31,9.7851,9.7925,9.7456,9.7867
2018-02-01,9.7867,9.8211,9.7811,9.8046
2018-02-02,9.8045,9.8544,9.8037,9.8513
2018-02-05,9.8396,9.8802,9.8259,9.8707
2018-02-06,9.8704,9.8889,9.8403,9.8421
2018-02-07,9.8419,9.9267,9.8369,9.9146
2018-02-08,9.9161,9.9667,9.8842,9.9385
2018-02-09,9.9384,10.0021,9.9035,9.9141
2018-02-12,9.9206,9.9382,9.9031,9.9115
2018-02-13,9.9114,9.95,9.9089,9.9152
2018-02-14,9.9142,9.967,9.8753,9.9066
2018-02-15,9.9058,9.9504,9.8913,9.9135
2018-02-16,9.9133,9.9291,9.8783,9.8846
2018-02-19,9.887,9.919,9.8753,9.9121
2018-02-20,9.912,9.9947,9.9047,9.9879
2018-02-21,9.9875,9.9955,9.961,9.9744
2018-02-22,9.9739,10.019,9.9727,10.0101
2018-02-23,10.0104,10.0669,9.9973,10.0482
2018-02-26,10.0546,10.057,10.0191,10.0421
2018-02-27,10.0422,10.0951,10.0381,10.0625
2018-02-28,10.0624,10.1396,10.0561,10.1106
2018-03-01,10.1104,10.125,10.0824,10.1179
2018-03-02,10.1179,10.2008,10.1139,10.1683
2018-03-05,10.1779,10.1956,10.1478,10.1924
2018-03-06,10.1923,10.2089,10.1765,10.1962
2018-03-07,10.1948,10.2465,10.1866,10.2089
2018-03-08,10.2089,10.2348,10.1698,10.1771
2018-03-09,10.177,10.185,10.1385,10.145
2018-03-12,10.148,10.1698,10.1364,10.1614
2018-03-13,10.1613,10.1842,10.1352,10.1809
2018-03-14,10.1809,10.183,10.1051,10.125
2018-03-15,10.1251,10.1283,10.0593,10.0679
2018-03-16,10.0679,10.0942,10.0541,10.0686
2018-03-19,10.0717,10.0997,10.0634,10.0748
2018-03-20,10.0747,10.0893,10.0507,10.0656
2018-03-21,10.0654,10.1154,10.0569,10.1084
2018-03-22,10.1082,10.1686,10.0952,10.1566
2018-03-23,10.1566,10.2143,10.1521,10.1854
2018-03-26,10.1825,10.2065,10.1545,10.1959
2018-03-27,10.1958,10.2222,10.1867,10.2113
2018-03-28,10.2104,10.298,10.2061,10.2891
2018-03-29,10.2893,10.3307,10.2654,10.2821
2018-03-30,10.2821,10.2938,10.2689,10.2795
2018-04-02,10.2784,10.3387,10.2701,10.3202
2018-04-03,10.3201,10.3475,10.2714,10.2937
2018-04-04,10.2939,10.3499,10.283,10.3123
2018-04-05,10.3119,10.3294,10.2893,10.3042
2018-04-06,10.3037,10.3331,10.2847,10.3027
2018-04-09,10.301,10.3099,10.2778,10.3048
2018-04-10,10.3056,10.3097,10.2521,10.2579
2018-04-11,10.2576,10.3159,10.2574,10.2965
2018-04-12,10.2964,10.3999,10.2946,10.3601
2018-04-13,10.3598,10.4813,10.3592,10.4413
2018-04-16,10.4486,10.4697,10.3971,10.4142
2018-04-17,10.4145,10.4453,10.3841,10.3996
2018-04-18,10.3998,10.4096,10.3784,10.4025
2018-04-19,10.402,10.4052,10.3583,10.38
2018-04-20,10.3801,10.3896,10.3648,10.3758
